Index in input array,Experiment ,Number of Samples (n),Number of Latent States (k),Number of Dimension (l)
0,1,500,2,2
1,1,500,3,2
2,1,500,5,2
3,1,500,10,2
4,1,500,100,2
5,2,10,2,2
6,2,20,2,2
7,2,50,2,2
8,2,100,2,2
9,2,200,2,2
10,2,500,2,2
11,2,700,2,2
12,2,1000,2,2
13,2,2000,2,2
14,2,5000,2,2
15,2,7000,2,2
16,2,10000,2,2
17,2,10,3,2
18,2,20,3,2
19,2,50,3,2
20,2,100,3,2
21,2,200,3,2
22,2,500,3,2
23,2,700,3,2
24,2,1000,3,2
25,2,2000,3,2
26,2,5000,3,2
27,2,7000,3,2
28,2,10000,3,2
29,2,10,5,2
30,2,20,5,2
31,2,50,5,2
32,2,100,5,2
33,2,200,5,2
34,2,500,5,2
35,2,700,5,2
36,2,1000,5,2
37,2,2000,5,2
38,2,5000,5,2
39,2,7000,5,2
40,2,10000,5,2
41,2,20,10,2
42,2,50,10,2
43,2,100,10,2
44,2,200,10,2
45,2,500,10,2
46,2,700,10,2
47,2,1000,10,2
48,2,2000,10,2
49,2,5000,10,2
50,2,7000,10,2
51,2,10000,10,2
52,3,500,2,2
53,3,500,2,5
54,3,500,2,10
55,3,500,2,20
56,3,500,3,2
57,3,500,3,5
58,3,500,3,10
59,3,500,3,20
60,3,500,5,2
61,3,500,5,5
62,3,500,5,10
63,3,500,5,20
64,3,500,10,2
65,3,500,10,5
66,3,500,10,10
67,3,500,10,20
