Index in input array,Experiment ,Number of Samples (n),Number of Latent States (k),Number of Dimension (l)
0,1,500,2,2
1,1,500,3,2
2,1,500,5,2
3,1,500,10,2
4,2,10,2,2
5,2,20,2,2
6,2,50,2,2
7,2,100,2,2
8,2,200,2,2
9,2,500,2,2
10,2,700,2,2
11,2,1000,2,2
12,2,10,3,2
13,2,20,3,2
14,2,50,3,2
15,2,100,3,2
16,2,200,3,2
17,2,500,3,2
18,2,700,3,2
19,2,1000,3,2
20,2,10,5,2
21,2,20,5,2
22,2,50,5,2
23,2,100,5,2
24,2,200,5,2
25,2,500,5,2
26,2,700,5,2
27,2,1000,5,2
28,2,20,10,2
29,2,50,10,2
30,2,100,10,2
31,2,200,10,2
32,2,500,10,2
33,2,700,10,2
34,2,1000,10,2
35,3,500,2,2
36,3,500,2,5
37,3,500,2,10
38,3,500,2,20
39,3,500,3,2
40,3,500,3,5
41,3,500,3,10
42,3,500,3,20
43,3,500,5,2
44,3,500,5,5
45,3,500,5,10
46,3,500,5,20
47,3,500,10,2
48,3,500,10,5
49,3,500,10,10
50,3,500,10,20
