Index in input array,Experiment ,Number of Samples (n),Number of Latent States (k),Number of Dimension (l)
0,1,500,2,1
1,1,500,3,1
2,1,500,5,1
3,1,500,10,1
4,2,10,2,1
5,2,20,2,1
6,2,50,2,1
7,2,100,2,1
8,2,200,2,1
9,2,500,2,1
10,2,700,2,1
11,2,1000,2,1
12,2,10,3,1
13,2,20,3,1
14,2,50,3,1
15,2,100,3,1
16,2,200,3,1
17,2,500,3,1
18,2,700,3,1
19,2,1000,3,1
20,2,10,5,1
21,2,20,5,1
22,2,50,5,1
23,2,100,5,1
24,2,200,5,1
25,2,500,5,1
26,2,700,5,1
27,2,1000,5,1
28,2,20,10,1
29,2,50,10,1
30,2,100,10,1
31,2,200,10,1
32,2,500,10,1
33,2,700,10,1
34,2,1000,10,1
35,3,500,2,1
36,3,500,2,1
37,3,500,2,1
38,3,500,2,1
39,3,500,3,1
40,3,500,3,1
41,3,500,3,1
42,3,500,3,1
43,3,500,5,1
44,3,500,5,1
45,3,500,5,1
46,3,500,5,1
47,3,500,10,1
48,3,500,10,1
49,3,500,10,1
50,3,500,10,1
